date,s1_user,s1_gpu,s2_user,s2_gpu,st1_user,st1_gpu,st2_user,st2_gpu
2025-03-20,KYMEKAdavide,0,davidecho97,1,mx5nabcd,2,jammanbooboo,3
2025-03-21,mx5nabcd,2,jammanbooboo,3,KYMEKAdavide,0,davidecho97,1
2025-03-22,KYMEKAdavide,0,mx5nabcd,2,davidecho97,1,jammanbooboo,3
